Vernier Format 2
Untitled.sbl	13:32  Monday, March 25, 2019
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
min	%	

0.000000000	99.976974487	0.000100010
0.008333334	99.976974487	0.000100010
0.016666668	99.976974487	0.000100010
0.025000002	99.976974487	0.000100010
0.033333335	99.976974487	0.000100010
0.041666668	99.976974487	0.000100010
0.050000004	99.953956604	0.000200010
0.058333337	99.953956604	0.000200010
0.066666670	99.953956604	0.000200010
0.075000003	99.953956604	0.000200010
0.083333336	99.930946350	0.000300000
0.091666669	99.930946350	0.000300000
0.100000009	99.930946350	0.000300000
0.108333342	99.930946350	0.000300000
0.116666675	99.930946350	0.000300000
0.125000000	99.930946350	0.000300000
0.133333340	99.930946350	0.000300000
0.141666681	99.930946350	0.000300000
0.150000006	99.907936096	0.000400013
0.158333346	99.907936096	0.000400013
0.166666672	99.930946350	0.000300000
0.175000012	99.930946350	0.000300000
0.183333337	99.930946350	0.000300000
0.191666678	99.907936096	0.000400013
0.200000018	99.930946350	0.000300000
0.208333343	99.930946350	0.000300000
0.216666684	99.930946350	0.000300000
0.225000009	99.930946350	0.000300000
0.233333349	99.930946350	0.000300000
0.241666675	99.930946350	0.000300000
0.250000000	99.930946350	0.000300000
0.258333355	99.930946350	0.000300000
0.266666681	99.953956604	0.000200010
0.275000006	99.976974487	0.000100010
0.283333361	99.976974487	0.000100010
0.291666687	99.953956604	0.000200010
0.300000012	99.953956604	0.000200010
0.308333337	99.953956604	0.000200010
0.316666692	99.907936096	0.000400013
0.325000018	99.953956604	0.000200010
0.333333343	99.930946350	0.000300000
0.341666698	93.432937622	0.029499996
0.350000024	92.982238770	0.031600002
0.358333349	98.152191162	0.008100001
0.366666675	99.357353210	0.002799986
0.375000030	99.403114319	0.002600009
0.383333355	99.494712830	0.002199997
0.391666681	99.311607361	0.002999989
0.400000036	99.288742065	0.003099991
0.408333361	99.265884399	0.003199984
0.416666687	99.128837585	0.003799987
0.425000012	99.128837585	0.003799987
0.433333367	99.151664734	0.003699990
