Vernier Format 2
Untitled.sbl	16:33  Monday, March 25, 2019
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
min	%	

0.000000000	100.000000000	0.000000000
0.033333335	100.000000000	0.000000000
0.066666670	100.000000000	0.000000000
0.100000009	100.000000000	0.000000000
0.133333340	100.000000000	0.000000000
0.166666672	100.000000000	0.000000000
0.200000018	100.000000000	0.000000000
0.233333349	100.000000000	0.000000000
0.266666681	100.000000000	0.000000000
0.300000012	100.000000000	0.000000000
0.333333343	100.000000000	0.000000000
0.366666675	100.000000000	0.000000000
0.400000036	100.000000000	0.000000000
0.433333367	100.000000000	0.000000000
0.466666698	100.000000000	0.000000000
0.500000000	100.000000000	0.000000000
0.533333361	100.000000000	0.000000000
0.566666722	100.000000000	0.000000000
0.600000024	100.000000000	0.000000000
0.633333385	100.000000000	0.000000000
0.666666687	100.000000000	0.000000000
0.700000048	100.000000000	0.000000000
0.733333349	100.000000000	0.000000000
0.766666710	100.000000000	0.000000000
0.800000072	100.000000000	0.000000000
0.833333373	100.000000000	0.000000000
0.866666734	100.000000000	0.000000000
0.900000036	100.000000000	0.000000000
0.933333397	100.000000000	0.000000000
0.966666698	100.000000000	0.000000000
1.000000000	100.000000000	0.000000000
1.033333421	100.000000000	0.000000000
1.066666722	100.000000000	0.000000000
1.100000024	100.000000000	0.000000000
1.133333445	100.000000000	0.000000000
1.166666746	100.000000000	0.000000000
1.200000048	99.907936096	0.000400013
1.233333349	99.609329224	0.001699984
1.266666770	99.128837585	0.003799987
1.300000072	97.994117737	0.008799993
1.333333373	96.917007446	0.013600004
1.366666794	95.653312683	0.019299984
1.400000095	94.210647583	0.025900012
1.433333397	92.469818115	0.033999998
1.466666698	91.075172424	0.040599998
1.500000119	89.660263062	0.047399990
1.533333421	87.700080872	0.057000007
1.566666722	86.277984619	0.064100005
1.600000143	84.820335388	0.071500018
1.633333445	83.023300171	0.080800004
1.666666746	81.021446228	0.091400012
1.700000048	78.758964539	0.103700005
1.733333468	76.172813416	0.118200004
