Vernier Format 2
Untitled.sbl	16:47  Wednesday, April 03, 2019
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
min	%	

0.000000000	100.000000000	0.000000000
0.016666668	100.000000000	0.000000000
0.033333335	100.000000000	0.000000000
0.050000004	100.000000000	0.000000000
0.066666670	100.000000000	0.000000000
0.083333336	100.000000000	0.000000000
0.100000009	100.000000000	0.000000000
0.116666675	100.000000000	0.000000000
0.133333340	100.000000000	0.000000000
0.150000006	100.000000000	0.000000000
0.166666672	100.000000000	0.000000000
0.183333337	100.000000000	0.000000000
0.200000018	100.000000000	0.000000000
0.216666684	100.000000000	0.000000000
0.233333349	100.000000000	0.000000000
0.250000000	100.000000000	0.000000000
0.266666681	100.000000000	0.000000000
0.283333361	100.000000000	0.000000000
0.300000012	100.000000000	0.000000000
0.316666692	100.000000000	0.000000000
0.333333343	100.000000000	0.000000000
0.350000024	100.000000000	0.000000000
0.366666675	100.000000000	0.000000000
0.383333355	100.000000000	0.000000000
0.400000036	100.000000000	0.000000000
0.416666687	100.000000000	0.000000000
0.433333367	100.000000000	0.000000000
0.450000018	100.000000000	0.000000000
0.466666698	100.000000000	0.000000000
0.483333349	100.000000000	0.000000000
0.500000000	100.000000000	0.000000000
0.516666710	99.930946350	0.000300000
0.533333361	98.174797058	0.007999988
0.550000012	98.378456116	0.007099997
0.566666722	99.174491882	0.003600016
0.583333373	98.537147522	0.006400014
0.600000024	96.139091492	0.017099986
0.616666675	93.993972778	0.026899993
0.633333385	92.618980408	0.033300005
0.650000036	88.145469666	0.054800004
0.666666687	82.318984985	0.084499992
0.683333397	72.828269958	0.137700006
0.700000048	62.994117737	0.200700000
0.716666698	51.274330139	0.290100008
0.733333349	38.699024200	0.412299991
0.750000060	29.648313522	0.527999997
0.766666710	24.221441269	0.615800023
0.783333361	19.760593414	0.704200029
0.800000072	16.025072098	0.795199990
0.816666722	13.131067276	0.881699979
0.833333373	10.959733009	0.960200012
0.850000024	9.238469124	1.034399986
0.866666734	7.730365753	1.111799955
