Vernier Format 2
Untitled.sbl	16:38  Wednesday, April 03, 2019
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
min	%	

0.000000000	100.000000000	0.000000000
0.016666668	100.000000000	0.000000000
0.033333335	100.000000000	0.000000000
0.050000004	100.000000000	0.000000000
0.066666670	100.000000000	0.000000000
0.083333336	100.000000000	0.000000000
0.100000009	100.000000000	0.000000000
0.116666675	100.000000000	0.000000000
0.133333340	100.000000000	0.000000000
0.150000006	100.000000000	0.000000000
0.166666672	100.000000000	0.000000000
0.183333337	100.000000000	0.000000000
0.200000018	100.000000000	0.000000000
0.216666684	100.000000000	0.000000000
0.233333349	100.000000000	0.000000000
0.250000000	100.000000000	0.000000000
0.266666681	100.000000000	0.000000000
0.283333361	99.380233765	0.002699986
0.300000012	92.405960083	0.034300018
0.316666692	78.740829468	0.103800014
0.333333343	64.998001099	0.187099993
0.350000024	50.164905548	0.299600005
0.366666675	38.868698120	0.410400003
0.383333355	34.135005951	0.466800004
0.400000036	31.695672989	0.499000013
0.416666687	29.929538727	0.523899972
0.433333367	29.160837173	0.535200000
0.450000018	29.275207520	0.533500016
0.466666698	29.792022705	0.525900006
0.483333349	31.138668060	0.506699979
0.500000000	32.225524902	0.491800010
0.516666710	33.388736725	0.476400018
0.533333361	35.237087250	0.453000009
0.550000012	36.567897797	0.436900020
0.566666722	38.601127625	0.413399994
0.583333373	40.513523102	0.392399997
0.600000024	41.783035278	0.379000008
0.616666675	43.621440887	0.360300004
0.633333385	44.771327972	0.349000037
0.650000036	46.494331360	0.332599998
0.666666687	48.095008850	0.317900002
0.683333397	49.636367798	0.304199994
0.700000048	51.074016571	0.291799992
0.716666698	53.321212769	0.273099989
0.733333349	54.638656616	0.262499988
0.750000060	55.859878540	0.252900004
0.766666710	56.977054596	0.244300008
0.783333361	58.076442719	0.235999987
0.800000072	59.115314484	0.228299990
0.816666722	60.089694977	0.221200004
0.833333373	61.037960052	0.214399993
0.850000024	61.929843903	0.208100021
0.866666734	62.762466431	0.202299997
