Vernier Format 2
Untitled.sbl	14:18  Monday, March 25, 2019
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
min	%	

0.000000000	100.000000000	0.000000000
0.016666668	100.000000000	0.000000000
0.033333335	100.000000000	0.000000000
0.050000004	100.000000000	0.000000000
0.066666670	100.000000000	0.000000000
0.083333336	100.000000000	0.000000000
0.100000009	100.000000000	0.000000000
0.116666675	100.000000000	0.000000000
0.133333340	100.000000000	0.000000000
0.150000006	100.000000000	0.000000000
0.166666672	100.000000000	0.000000000
0.183333337	100.000000000	0.000000000
0.200000018	100.000000000	0.000000000
0.216666684	100.000000000	0.000000000
0.233333349	100.000000000	0.000000000
0.250000000	100.000000000	0.000000000
0.266666681	100.000000000	0.000000000
0.283333361	100.000000000	0.000000000
0.300000012	100.000000000	0.000000000
0.316666692	100.000000000	0.000000000
0.333333343	100.000000000	0.000000000
0.350000024	100.000000000	0.000000000
0.366666675	100.000000000	0.000000000
0.383333355	100.000000000	0.000000000
0.400000036	100.000000000	0.000000000
0.416666687	100.000000000	0.000000000
0.433333367	100.000000000	0.000000000
0.450000018	100.000000000	0.000000000
0.466666698	100.000000000	0.000000000
0.483333349	100.000000000	0.000000000
0.500000000	100.000000000	0.000000000
0.516666710	100.000000000	0.000000000
0.533333361	100.000000000	0.000000000
0.550000012	100.000000000	0.000000000
0.566666722	100.000000000	0.000000000
0.583333373	100.000000000	0.000000000
0.600000024	100.000000000	0.000000000
0.616666675	100.000000000	0.000000000
0.633333385	100.000000000	0.000000000
0.650000036	100.000000000	0.000000000
0.666666687	100.000000000	0.000000000
0.683333397	100.000000000	0.000000000
0.700000048	100.000000000	0.000000000
0.716666698	100.000000000	0.000000000
0.733333349	100.000000000	0.000000000
0.750000060	100.000000000	0.000000000
0.766666710	100.000000000	0.000000000
0.783333361	100.000000000	0.000000000
0.800000072	100.000000000	0.000000000
0.816666722	100.000000000	0.000000000
0.833333373	100.000000000	0.000000000
0.850000024	100.000000000	0.000000000
0.866666734	100.000000000	0.000000000
