Vernier Format 2
Untitled.sbl	14:44  Monday, March 25, 2019
Latest
Time	Transmittance	Absorbance
Time	%Trans	Abs
min	%	

0.000000000	98.423767090	0.006900017
0.016666668	98.446434021	0.006800010
0.033333335	98.446434021	0.006800010
0.050000004	98.469108582	0.006699994
0.066666670	98.469108582	0.006699994
0.083333336	98.469108582	0.006699994
0.100000009	98.469108582	0.006699994
0.116666675	98.469108582	0.006699994
0.133333340	98.491783142	0.006600000
0.150000006	98.469108582	0.006699994
0.166666672	98.491783142	0.006600000
0.183333337	98.491783142	0.006600000
0.200000018	98.491783142	0.006600000
0.216666684	98.514465332	0.006499995
0.233333349	98.514465332	0.006499995
0.250000000	98.514465332	0.006499995
0.266666681	98.514465332	0.006499995
0.283333361	98.537147522	0.006400014
0.300000012	98.537147522	0.006400014
0.316666692	98.537147522	0.006400014
0.333333343	98.537147522	0.006400014
0.350000024	98.559844971	0.006299988
0.366666675	98.537147522	0.006400014
0.383333355	98.537147522	0.006400014
0.400000036	98.537147522	0.006400014
0.416666687	98.559844971	0.006299988
0.433333367	98.537147522	0.006400014
0.450000018	98.559844971	0.006299988
0.466666698	98.537147522	0.006400014
0.483333349	98.537147522	0.006400014
0.500000000	98.537147522	0.006400014
0.516666710	98.537147522	0.006400014
0.533333361	98.514465332	0.006499995
0.550000012	98.514465332	0.006499995
0.566666722	98.491783142	0.006600000
0.583333373	98.491783142	0.006600000
0.600000024	98.514465332	0.006499995
0.616666675	98.514465332	0.006499995
0.633333385	98.514465332	0.006499995
0.650000036	98.514465332	0.006499995
0.666666687	98.537147522	0.006400014
0.683333397	98.537147522	0.006400014
0.700000048	98.559844971	0.006299988
0.716666698	98.559844971	0.006299988
0.733333349	98.582542419	0.006199986
0.750000060	98.559844971	0.006299988
0.766666710	98.401107788	0.007000012
0.783333361	97.140426636	0.012599993
0.800000072	94.188957214	0.026000012
0.816666722	87.983253479	0.055599984
0.833333373	78.216789246	0.106700018
0.850000024	68.029922485	0.167300031
0.866666734	60.062030792	0.221399993
